OBJECTID,GEOID,NAME,NAMELSAD
244,0820000,Denver North East,Denver city North East
245,0820000,Denver North,Denver city North
246,0820000,Denver South,Denver city South
55,0845970,Longmont,Longmont city
69,0857630,Parker,Parker town
113,0845955,Lone Tree,Lone Tree city
138,0846355,Louisville,Louisville city
149,0807850,Boulder,Boulder city
166,0809280,Broomfield,Broomfield city
169,0854330,Northglenn,Northglenn city
176,0877290,Thornton,Thornton city
179,0803455,Arvada,Arvada city
206,0812815,Centennial,Centennial city
237,0804000,Aurora,Aurora city
240,0883835,Westminster,Westminster city
256,0824785,Englewood,Englewood city
259,0843000,Lakewood,Lakewood city
260,0830835,Golden,Golden city
262,0845255,Littleton,Littleton city
265,0841835,Lafayette,Lafayette city