city,bbox
Lakewood,"39.629,-105.212,39.739,-105.068"
Aurora,"39.580,-104.870,39.780,-104.670"
Westminster,"39.840,-105.060,39.920,-105.000"
Thornton,"39.850,-104.980,39.950,-104.850"
Arvada,"39.800,-105.160,39.860,-105.060"
Englewood,"39.620,-105.020,39.670,-104.980"
Littleton,"39.570,-105.090,39.630,-105.000"
Parker,"39.480,-104.780,39.580,-104.690"
Broomfield,"39.880,-105.130,39.940,-105.050"
Brighton,"39.950,-104.850,40.000,-104.750"
Castle Rock,"39.350,-104.890,39.410,-104.800"
Commerce City,"39.820,-104.950,39.910,-104.840"
Golden,"39.720,-105.250,39.780,-105.160"
Lafayette,"39.980,-105.120,40.010,-105.090"
Louisville,"39.940,-105.180,39.990,-105.110"
Lone Tree,"39.520,-104.920,39.570,-104.870"
Northglenn,"39.860,-104.980,39.930,-104.950"
Wheat Ridge,"39.720,-105.180,39.770,-105.080"
Centennial,"39.580,-104.890,39.640,-104.820"